,Origen,Destino
0,"19.3371,-99.566","25.7785,-100.107"
1,"25.7785,-100.107","19.3371,-99.566"
2,"19.4363,-99.0721","25.7785,-100.107"
3,"25.7785,-100.107","19.4363,-99.0721"
52,"19.4363,-99.0721","22.2964,-97.8659"
107,"22.2964,-97.8659","19.4363,-99.0721"
146,"19.4363,-99.0721","20.5218,-103.311"
147,"20.5218,-103.311","19.4363,-99.0721"
273,"19.4363,-99.0721","31.6361,-106.429"
275,"31.6361,-106.429","19.4363,-99.0721"
277,"25.7785,-100.107","20.5218,-103.311"
278,"21.0365,-86.8771","19.4363,-99.0721"
285,"19.4363,-99.0721","21.0365,-86.8771"
358,"32.5411,-116.97","19.4363,-99.0721"
359,"19.4363,-99.0721","32.5411,-116.97"
362,"19.4363,-99.0721","29.0959,-111.048"
363,"29.0959,-111.048","19.4363,-99.0721"
364,"19.4363,-99.0721","18.6537,-91.799"
366,"18.6537,-91.799","19.4363,-99.0721"
368,"19.4363,-99.0721","20.937,-89.6577"
370,"20.937,-89.6577","19.4363,-99.0721"
373,"19.4363,-99.0721","18.5047,-88.3268"
375,"18.5047,-88.3268","19.4363,-99.0721"
387,"19.1459,-96.1873","19.4363,-99.0721"
389,"19.4363,-99.0721","19.1459,-96.1873"
410,"19.4363,-99.0721","16.9999,-96.7266"
411,"16.9999,-96.7266","19.4363,-99.0721"
412,"19.4363,-99.0721","15.7753,-96.2626"
414,"15.7753,-96.2626","19.4363,-99.0721"
416,"19.4363,-99.0721","17.6016,-101.461"
421,"20.6801,-105.254","19.4363,-99.0721"
428,"19.4363,-99.0721","20.6801,-105.254"
433,"19.4363,-99.0721","-12.0219,-77.1143"
576,"19.4363,-99.0721","22.9892,-82.4091"
577,"19.4363,-99.0721","4.70159,-74.1469"
630,"19.4363,-99.0721","25.7932,-80.2906"
633,"19.4363,-99.0721","33.9425,-118.408"
635,"19.4363,-99.0721","40.6398,-73.7789"
666,"19.4363,-99.0721","25.5683,-103.411"
667,"19.4363,-99.0721","15.8769,-97.0891"
669,"15.8769,-97.0891","19.4363,-99.0721"
684,"16.7571,-99.754","19.4363,-99.0721"
685,"19.4363,-99.0721","16.7571,-99.754"
686,"17.6016,-101.461","19.4363,-99.0721"
697,"19.4363,-99.0721","23.1614,-106.266"
698,"19.4363,-99.0721","14.5833,-90.5275"
701,"21.7056,-102.318","25.7785,-100.107"
708,"21.0365,-86.8771","4.70159,-74.1469"
711,"21.0365,-86.8771","20.937,-89.6577"
712,"20.937,-89.6577","19.1459,-96.1873"
714,"20.937,-89.6577","17.997,-92.8174"
715,"17.997,-92.8174","20.937,-89.6577"
718,"19.1459,-96.1873","20.937,-89.6577"
720,"21.0365,-86.8771","17.5391,-88.3082"
752,"20.5218,-103.311","32.8968,-97.038"
783,"19.4363,-99.0721","32.8968,-97.038"
806,"21.0365,-86.8771","32.8968,-97.038"
820,"21.0365,-86.8771","25.7932,-80.2906"
850,"20.6801,-105.254","32.8968,-97.038"
852,"20.5224,-86.9256","32.8968,-97.038"
884,"21.0365,-86.8771","40.6398,-73.7789"
1006,"21.0365,-86.8771","41.9786,-87.9048"
1177,"29.0959,-111.048","33.4343,-112.012"
1178,"25.7785,-100.107","32.8968,-97.038"
1180,"28.7029,-105.965","32.8968,-97.038"
1181,"25.5683,-103.411","32.8968,-97.038"
1221,"20.6173,-100.186","32.8968,-97.038"
1242,"21.7056,-102.318","32.8968,-97.038"
1258,"20.9935,-101.481","32.8968,-97.038"
1306,"19.1581,-98.3714","32.8968,-97.038"
1307,"25.7785,-100.107","25.7932,-80.2906"
1310,"19.4363,-99.0721","33.4343,-112.012"
1311,"20.937,-89.6577","25.7932,-80.2906"
1319,"19.4363,-99.0721","39.8719,-75.2411"
1345,"22.2543,-100.931","32.8968,-97.038"
1362,"20.5218,-103.311","33.4343,-112.012"
1367,"19.4363,-99.0721","35.214,-80.9431"
1387,"21.0365,-86.8771","35.214,-80.9431"
1389,"19.4363,-99.0721","43.6772,-79.6306"
1408,"20.5218,-103.311","29.9844,-95.3414"
1409,"19.4363,-99.0721","49.1939,-123.184"
1414,"19.4363,-99.0721","49.0128,2.55"
1575,"19.4363,-99.0721","22.8971,-102.687"
1592,"19.4363,-99.0721","52.3086,4.76389"
1599,"19.4363,-99.0721","33.6367,-84.4281"
1601,"19.4363,-99.0721","27.3926,-109.833"
1605,"22.8971,-102.687","19.4363,-99.0721"
1606,"19.4363,-99.0721","40.4719,-3.56264"
1674,"19.4363,-99.0721","-33.393,-70.7858"
2915,"20.5218,-103.311","32.5411,-116.97"
